TrialNo,TableDim,Distance,Bounces,Velocity,RunUpD,Start_x,Start_y,V_theta,Occl_x,Occl_y,Occl_theta,End_x,End_y,Sim_theta,Prebounces
401,1200x900,800,2,600,400,923.709970876,781.644478902,5.26903727679,1134.83602212,442.371800241,5.26903727679,821,260,5.26903727679,0
402,1200x900,800,2,600,400,592.71463877,572.654130112,5.5712925494,895.262490011,311.608238151,5.5712925494,878,234,5.5712925494,0
403,1200x900,800,2,600,400,627.254839384,663.721542459,0.34958069181,1002.68559687,800.586097164,0.34958069181,625,704,0.34958069181,0
404,1200x900,800,2,600,400,529.933632408,281.043007509,5.70762615515,865.153311144,63.5391523972,5.70762615515,842,396,5.70762615515,0
405,1200x900,800,2,600,400,790.0,575.625829802,0.842309834137,1056.03012146,873.800500883,0.842309834137,790,307,0.842309834137,0
406,1200x900,800,2,600,400,803.039714708,508.791354621,1.04317674013,1004.22955285,854.048952698,1.04317674013,971,233,1.04317674013,0
407,1200x900,800,2,600,400,897.503214578,777.815757293,5.13476830777,1061.31197558,413.334139347,5.13476830777,989,340,5.13476830777,0
408,1200x900,800,2,600,400,689.018100819,456.67327097,0.681191136531,999.436647133,708.308892662,0.681191136531,758,567,0.681191136531,0
409,1200x900,800,2,600,400,825.191005547,543.743731674,0.500921983496,1175.69621609,735.645418437,0.500921983496,501,659,0.500921983496,0
410,1200x900,800,2,600,400,865.919031933,587.389886792,5.23233696896,1064.4542982,240.599016022,5.23233696896,916,477,5.23233696896,0
411,1200x900,800,2,600,400,562.338220796,308.003919435,5.71443672744,899.031439442,92.7881288478,5.71443672744,805,361,5.71443672744,0
412,1200x900,800,2,600,400,824.929374718,709.117759818,5.34683328045,1061.7843005,387.279439954,5.34683328045,842,280,5.34683328045,0
413,1200x900,800,2,600,400,645.831357367,460.515482949,0.743478965142,939.984218223,730.985914698,0.743478965142,849,506,0.743478965142,0
414,1200x900,800,2,600,400,684.276075258,353.555980894,0.768095832764,971.68235137,631.184856287,0.768095832764,831,592,0.768095832764,0
415,1200x900,800,2,600,400,560.067104085,425.619839219,0.591751481143,891.721097796,648.522931292,0.591751481143,823,684,0.591751481143,0
416,1200x900,800,2,600,400,921.155417298,373.146262267,5.34515533485,1157.46998271,50.9109659774,5.34515533485,748,617,5.34515533485,0
417,1200x900,800,2,600,400,898.976433665,546.617646043,0.916546860002,1142.15855332,863.702203658,0.916546860002,750,280,0.916546860002,0
418,1200x900,800,2,600,400,798.653873286,385.256544651,5.47263946367,1074.01942521,95.6810401433,5.47263946367,754,507,5.47263946367,0
419,1200x900,800,2,600,400,861.700358259,610.075491347,5.38494354102,1110.6456752,297.495278961,5.38494354102,769,351,5.38494354102,0
420,1200x900,800,2,600,400,785.425741288,335.283293791,5.82137598603,1143.16675681,157.23407078,5.82137598603,519,223,5.82137598603,0
421,1200x900,800,2,600,400,1035.78266082,744.001580557,5.09181082697,1183.78790615,372.821560412,5.09181082697,898,394,5.09181082697,0
422,1200x900,800,2,600,400,586.577111052,699.580583405,0.448666101311,946.627300876,872.912694705,0.448666101311,712,558,0.448666101311,0
423,1200x900,800,2,600,400,945.594983211,91.1415537025,5.03627388044,1072.76842738,310.699789246,1.24691142674,1051,710,1.24691142674,1
424,1200x900,800,2,600,400,628.666238565,329.012816139,5.49564572623,910.620382262,45.8485160367,5.49564572623,903,545,5.49564572623,0
425,1200x900,800,2,600,400,799.259583228,308.013268552,5.63744428585,1118.4017403,67.5378153743,5.63744428585,621,438,5.63744428585,0
426,1200x900,800,2,600,400,844.105966704,730.950825964,5.34066222278,1078.97031233,407.656998068,5.34066222278,830,263,5.34066222278,0
427,1200x900,800,2,600,400,655.238231832,423.713722662,5.57494033016,958.73630625,163.773193262,5.57494033016,812,380,5.57494033016,0
428,1200x900,800,2,600,400,541.676218078,649.213475343,0.397294103445,910.151912148,803.828555071,0.397294103445,732,665,0.397294103445,0
429,1200x900,800,2,600,400,703.843189251,412.985893199,0.59634559382,1034.46964473,637.410283452,0.59634559382,682,692,0.59634559382,0
430,1200x900,800,2,600,400,914.408396936,838.489609136,5.1812619067,1094.9800984,482.015177191,5.1812619067,922,254,5.1812619067,0
431,1200x900,800,2,600,400,767.392811322,623.343370938,0.70051788932,1072.89038845,880.931007227,0.70051788932,694,382,0.70051788932,0
432,1200x900,800,2,600,400,949.86992785,660.758036829,5.27155203782,1161.84850033,322.017361959,5.27155203782,792,380,5.27155203782,0
433,1200x900,1000,0,600,400,1045.32056181,834.598446708,5.83029051073,976.083378819,660.007889397,3.59448745004,76,222,0.452894796453,1
434,1200x900,1000,0,600,400,1046.68180392,14.2680661928,0.476975372837,978.275960785,197.446667328,2.66461728075,89,657,5.80620993434,1
435,1200x900,1000,0,600,400,1031.26417906,869.635726266,5.78445461185,998.068582244,678.78954428,3.64032334892,119,200,0.498730695327,1
436,1200x900,1000,0,600,400,1019.89731922,44.9382911517,0.420936636301,995.619323222,207.975878173,2.72065601729,82,617,5.86224867088,1
437,1200x900,1000,0,600,400,1012.99170737,131.112029687,0.392800492382,998.764560292,283.840101227,2.74879216121,74,667,5.8903848148,1
438,1200x900,1000,0,600,400,1084.8972208,21.4361020424,0.516654660169,947.34603004,218.53181296,2.62493799342,77,713,5.76653064701,1
439,1200x900,1000,0,600,400,1006.43649133,833.876068749,5.83641585188,1012.74942437,661.486389155,3.58836210889,110,229,0.446769455303,1
440,1200x900,1000,0,600,400,1018.2940125,779.562533118,5.88521869264,993.772777844,624.932211179,3.53955926813,71,237,0.397966614542,1
441,1200x900,1000,0,600,400,1039.46149951,65.3001105177,0.457747353194,982.947331775,241.62957902,2.6838453004,85,684,5.82543795399,1
442,1200x900,1000,0,600,400,1008.87323969,741.106286714,5.87314385134,1005.02140164,582.045995001,3.55163410943,87,183,0.410041455837,1
443,1200x900,1000,0,600,400,1006.12743629,70.6700350709,0.427416832611,1009.94960245,236.064075076,2.71417582098,99,651,5.85576847457,1
444,1200x900,1000,0,600,400,1049.20923737,42.1360389328,0.500543950735,979.198969847,233.617267837,2.64104870285,101,714,5.78264135644,1
445,1200x900,1000,0,600,400,1025.02207253,877.354328393,5.85967037044,990.561700615,713.378344801,3.56510759033,78,302,0.423514936743,1
446,1200x900,1000,0,600,400,995.354465324,787.642634931,5.9258866859,1009.78187884,648.094483976,3.49889127487,72,298,0.357298621281,1
447,1200x900,1000,0,600,400,1000.17175106,836.316458641,5.9200294382,1006.7152141,694.581267928,3.50474852257,71,339,0.363155868977,1
448,1200x900,1000,0,600,400,1017.67194988,19.2619371836,0.460167976314,1003.87389003,196.457285086,2.68142467728,107,641,5.82301733087,1
449,1200x900,1000,0,600,400,1031.69197813,37.3195330091,0.479347523073,993.183330241,221.338466101,2.66224513052,105,683,5.80383778411,1
450,1200x900,1000,0,600,400,1005.16605637,847.909035186,5.80526328385,1018.840526,664.394960158,3.61951467692,130,204,0.477922023329,1
451,1200x900,1000,0,600,400,1050.80327654,12.8883346368,0.514641271004,981.339822182,209.285159265,2.62695138259,110,702,5.76854403618,1
452,1200x900,1000,0,600,400,1010.58960846,856.931097385,5.85294013723,1006.77238168,690.51073463,3.57183782354,97,273,0.430245169954,1
453,1200x900,1000,0,600,400,995.146277505,879.619238102,5.92819084782,1009.58606309,740.932755243,3.49658711295,71,393,0.354994459364,1
454,1200x900,1000,0,600,400,1059.15008571,40.8343415222,0.47973814867,966.00292567,224.991554188,2.66185450492,78,687,5.80344715851,1
455,1200x900,1000,0,600,400,1025.41120377,83.2622065802,0.470558480419,999.206536267,264.162477705,2.67103417317,107,718,5.81262682676,1
456,1200x900,1000,0,600,400,1022.58768622,855.240566051,5.84166475966,996.007059305,684.742004727,3.58311320111,91,257,0.441520547523,1
457,1200x900,1000,0,600,400,1010.57556559,46.0262861806,0.43027866293,1006.75839749,212.458794619,2.71131399066,97,630,5.85290664425,1
458,1200x900,1000,0,600,400,1036.80850201,24.0164525872,0.442898037201,982.41699068,195.0117636,2.69869461639,78,624,5.84028726998,1
459,1200x900,1000,0,600,400,1052.42942965,27.1802704696,0.45704663747,968.257087212,203.258893386,2.68454601612,70,645,5.82613866971,1
460,1200x900,1000,0,600,400,1011.56962947,887.550239799,5.76078186146,1022.48907234,688.463421456,3.66399609931,155,189,0.522403445716,1
461,1200x900,1000,0,600,400,1060.32770654,33.2914672617,0.505308631153,970.900139814,226.438399092,2.63628402244,95,711,5.77787667603,1
462,1200x900,1000,0,600,400,1010.7147654,73.4956919857,0.441728926883,1006.91790705,244.06941977,2.69986372671,102,672,5.8414563803,1
463,1200x900,1000,0,600,400,1024.26172545,40.7473308903,0.484645557364,1000.72497779,226.639341587,2.65694709623,115,693,5.79853974982,1
464,1200x900,1000,0,600,400,1049.92691553,857.744928885,5.81181955873,973.839877066,676.557624153,3.61295840204,82,222,0.471365748451,1
465,1200x900,1000,0,600,400,1023.12711921,789.612500237,5.85083177204,993.890095172,622.427937669,3.57394618873,85,203,0.432353535143,1
466,1200x900,1000,0,600,400,1000.82104462,730.160404152,5.89866493593,1009.90543348,580.489688969,3.52611302484,82,205,0.384520371251,1
467,1200x900,1000,0,600,400,1009.91571747,183.178131114,0.387343338802,1000.84174237,333.892363747,2.75424931479,74,712,5.89584196838,1
468,1200x900,1000,0,600,400,1012.63820748,858.699974265,5.80864617408,1011.39290272,676.3854816,3.61613178669,121,219,0.474539133102,1
469,1200x900,1000,0,600,400,1013.40347216,766.766915335,5.88738386159,996.610553009,612.933344465,3.53739409918,73,227,0.395801445587,1
470,1200x900,1000,0,600,400,1001.41813573,112.41370052,0.406523750713,1010.41944498,270.185795872,2.73506890288,91,666,5.87666155647,1
